Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
1,2335.33,0.01,4670.0,0.21,0.2,478.48,0.81,956.0,1.04,0.23,2137.64,0.02,4275.0,0.23,0.22,334.0,1.16,668.0,1.49,0.34
2,2302.5,0.02,4605.0,0.21,0.2,445.0,0.88,890.0,1.12,0.24,2197.0,0.02,4394.0,0.22,0.21,342.5,1.12,685.0,1.46,0.34
3,2273.27,0.02,4546.0,0.22,0.2,417.42,0.95,834.0,1.19,0.24,2216.0,0.02,4432.0,0.22,0.21,344.0,1.11,688.0,1.45,0.34
4,2265.5,0.01,4531.0,0.22,0.2,389.5,1.06,779.0,1.29,0.22,2365.5,0.02,4731.0,0.21,0.19,343.34,1.12,686.0,1.45,0.33
5,2349.5,0.01,4699.0,0.21,0.19,376.12,1.1,752.0,1.33,0.22,2268.77,0.02,4537.0,0.22,0.2,331.0,1.17,662.0,1.51,0.35
6,2257.5,0.01,4515.0,0.22,0.2,387.39,1.05,774.0,1.29,0.24,2241.5,0.02,4483.0,0.22,0.2,349.35,1.1,698.0,1.43,0.33
7,2251.75,0.01,4503.0,0.22,0.2,408.91,1.0,817.0,1.22,0.22,2335.5,0.02,4671.0,0.21,0.19,344.0,1.11,688.0,1.45,0.34
8,2206.0,0.02,4412.0,0.22,0.21,403.5,1.01,807.0,1.24,0.23,2372.5,0.02,4745.0,0.21,0.19,337.34,1.14,674.0,1.48,0.34
